                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7548,                 2.8168,                 1.2205,                0.63343,                0.36079,                0.42647,                0.23707,                 1.3807,                 2.9917,                 1.0211,              0.0032759,              0.0032759,              0.0032759
                      2,                 1.5361,                 1.6271,                  1.104,                0.85172,                0.77656,                0.83569,                0.40555,                 1.5515,                  1.861,                 1.1142,              0.0066027,              0.0066027,              0.0066027
                      3,                 1.5682,                 1.4937,                 1.1262,                0.88664,                0.72527,                0.84268,                0.41684,                 1.5365,                 1.3614,                 1.1329,              0.0099228,              0.0099228,              0.0099228
                      4,                 1.5971,                 1.3894,                 1.1483,                0.83037,                0.78205,                0.85841,                0.47525,                 1.4057,                  1.318,                 1.1215,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.5568,                 1.2474,                 1.1492,                0.75843,                0.78022,                0.79959,                0.41213,                 1.5332,                 1.2075,                 1.1339,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.5134,                 1.1212,                 1.1256,                 0.8852,                0.79085,                0.89394,                0.50632,                 1.3812,                 1.0776,                 1.1308,              0.0099604,              0.0099604,              0.0099604
                      7,                  1.501,                  1.089,                 1.1132,                0.86841,                 0.7674,                0.87788,                0.44513,                 1.5221,                 1.1008,                 1.1558,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.4528,                0.99059,                 1.1074,                0.87912,                0.79916,                0.86679,                0.49261,                 1.3719,                0.97976,                 1.0904,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.4292,                0.96132,                 1.0867,                0.93095,                0.78571,                0.90147,                0.49635,                 1.3952,                0.93873,                 1.1181,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.4416,                 0.9412,                  1.099,                0.90199,                0.80769,                0.89971,                0.49847,                 1.4354,                0.92052,                 1.1273,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.4119,                0.89422,                 1.0837,                0.85223,                0.82051,                0.89973,                0.48199,                 1.5004,                0.94496,                 1.1463,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.3869,                0.89081,                 1.0762,                0.87996,                0.80586,                0.88275,                0.53422,                 1.3101,                0.90906,                 1.0655,               0.009901,               0.009901,               0.009901
                     13,                 1.3711,                0.87167,                 1.0679,                0.95206,                0.83654,                0.94297,                0.57735,                 1.2837,                0.78948,                 1.0708,              0.0098911,              0.0098911,              0.0098911
