                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8197,                 2.4943,                 1.2696,                0.80087,                0.77342,                0.82963,                0.45991,                  1.392,                 1.2019,                 1.0925,              0.0032759,              0.0032759,              0.0032759
                      2,                 1.4657,                 1.1329,                 1.0998,                0.83029,                0.81537,                0.88196,                0.49531,                 1.3663,                0.97309,                 1.0553,              0.0066027,              0.0066027,              0.0066027
                      3,                 1.4672,                  1.091,                  1.089,                 0.8596,                0.79615,                 0.8817,                0.50033,                 1.3495,                0.95294,                 1.0683,              0.0099228,              0.0099228,              0.0099228
                      4,                 1.4931,                 1.1368,                 1.0997,                0.88149,                0.77473,                0.85977,                0.50254,                 1.3928,                0.96784,                 1.1092,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4848,                0.97276,                 1.1076,                0.87182,                0.80952,                0.90519,                0.49243,                 1.4835,                0.92018,                 1.1405,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.4337,                0.94439,                 1.0915,                0.86296,                0.78423,                0.88707,                0.48527,                 1.4356,                0.88231,                 1.1232,              0.0099604,              0.0099604,              0.0099604
                      7,                  1.451,                0.87611,                 1.0855,                0.88525,                 0.8663,                0.92344,                0.55042,                 1.2971,                0.93732,                 1.0583,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.4012,                0.86249,                 1.0747,                0.87913,                 0.8792,                 0.9308,                0.55787,                 1.2496,                0.80148,                 1.0415,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.3653,                0.82327,                 1.0668,                0.90531,                0.84047,                0.92608,                0.53817,                 1.3927,                0.86158,                 1.0932,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.3872,                 0.8363,                 1.0739,                0.84013,                0.80403,                0.86991,                0.47317,                 1.4637,                0.92108,                 1.1271,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.3492,                0.79857,                 1.0547,                 0.8796,                0.81136,                0.87781,                0.47528,                 1.4042,                0.83304,                  1.091,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.3547,                0.80582,                 1.0628,                0.90412,                0.85165,                0.91783,                 0.5271,                 1.3811,                 0.7947,                 1.1024,               0.009901,               0.009901,               0.009901
                     13,                 1.3203,                0.77582,                 1.0513,                0.91182,                0.89013,                0.94336,                0.57477,                 1.2153,                0.71811,                 1.0287,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.3104,                0.77829,                 1.0446,                 0.9271,                0.86179,                0.94526,                0.56946,                 1.2907,                 0.7414,                 1.0589,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.3137,                0.77554,                 1.0572,                 0.9048,                0.87363,                0.94944,                0.59456,                 1.2429,                0.74528,                 1.0468,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.2883,                0.76309,                 1.0521,                0.91873,                0.87546,                0.95384,                0.58867,                 1.2296,                0.72575,                 1.0422,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.3027,                0.75763,                 1.0453,                0.92338,                0.88293,                0.94323,                  0.573,                 1.2647,                0.75167,                 1.0651,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.2469,                0.72302,                  1.026,                0.84785,                0.81646,                 0.8879,                0.48471,                 1.4591,                0.85834,                 1.0984,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.2614,                0.72758,                 1.0324,                0.92162,                0.85714,                0.92415,                0.54542,                 1.3508,                0.73646,                  1.082,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.2716,                0.72035,                 1.0324,                0.93025,                0.89194,                0.95327,                0.60333,                 1.2306,                0.71406,                 1.0567,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.2801,                0.73859,                 1.0461,                0.92149,                0.89377,                0.95447,                 0.6164,                 1.2256,                0.68741,                 1.0255,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.2369,                0.70888,                 1.0303,                 0.9162,                0.88828,                0.95996,                0.60463,                 1.1784,                0.68695,                 1.0061,               0.009802,               0.009802,               0.009802
                     23,                 1.2368,                0.72754,                 1.0159,                0.93178,                0.90842,                0.95769,                0.62293,                 1.1927,                0.65927,                 1.0484,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.2174,                0.69638,                 1.0183,                0.91582,                0.90476,                0.95284,                0.61663,                 1.1792,                0.67013,                 1.0166,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.1873,                0.67355,                 1.0139,                0.89759,                0.89895,                0.94884,                0.58646,                 1.2522,                0.68774,                 1.0427,              0.0097723,              0.0097723,              0.0097723
                     26,                  1.206,                0.68438,                 1.0096,                0.92985,                0.87396,                0.94479,                0.58449,                 1.2821,                0.68922,                 1.0494,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.2045,                0.69804,                 1.0168,                0.94964,                0.89804,                0.96246,                0.61199,                 1.2078,                0.65597,                 1.0302,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.1904,                0.69076,                  1.002,                0.92436,                0.89011,                0.95004,                0.60426,                 1.1979,                0.67805,                  1.024,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.1748,                0.68394,                 1.0104,                 0.9329,                0.89011,                0.94978,                 0.6088,                  1.191,                0.67043,                 1.0406,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.1735,                0.67383,                0.99722,                0.92678,                0.92308,                0.95884,                0.64632,                 1.1193,                0.62592,                 1.0078,              0.0097228,              0.0097228,              0.0097228
                     31,                  1.178,                0.66659,                 1.0126,                 0.9452,                0.87363,                0.95265,                0.61099,                 1.1854,                0.66755,                  1.025,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.1764,                0.65936,                 1.0068,                0.90876,                0.91212,                0.95527,                0.62788,                  1.154,                0.65092,                 1.0161,               0.009703,               0.009703,               0.009703
                     33,                 1.1677,                 0.6533,                0.99355,                0.92534,                0.90842,                0.95448,                 0.6126,                 1.2384,                0.65215,                 1.0496,              0.0096931,              0.0096931,              0.0096931
                     34,                  1.164,                0.65147,                 1.0007,                0.95097,                0.91575,                0.97269,                0.64988,                 1.1267,                0.60897,                 1.0098,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.1356,                0.64096,                0.98389,                0.92362,                0.91758,                0.96432,                0.63401,                 1.1343,                0.59632,                 1.0065,              0.0096733,              0.0096733,              0.0096733
                     36,                  1.133,                0.65247,                0.98768,                0.92156,                0.88224,                0.94943,                 0.6298,                 1.1525,                 0.6361,                 1.0194,              0.0096634,              0.0096634,              0.0096634
                     37,                  1.122,                0.64088,                0.98955,                0.93713,                0.90097,                0.96077,                0.65633,                 1.1064,                0.59336,                 1.0049,              0.0096535,              0.0096535,              0.0096535
