                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7276,                 2.2059,                 1.3261,                0.91545,                0.69402,                 0.8078,                0.44506,                 1.4429,                 1.5823,                 1.1863,              0.0032759,              0.0032759,              0.0032759
                      2,                 1.4395,                 1.1372,                 1.1535,                 0.8815,                0.82784,                0.90884,                0.48631,                 1.4299,                0.85866,                 1.1374,              0.0066059,              0.0066059,              0.0066059
                      3,                 1.4835,                 1.1059,                 1.1363,                0.86713,                0.72161,                0.83177,                0.44138,                 1.4738,                 1.1791,                 1.1601,              0.0099327,              0.0099327,              0.0099327
                      4,                 1.5361,                 1.1499,                 1.1407,                0.81498,                0.76007,                0.83398,                0.43754,                 1.5351,                 1.0158,                 1.1988,              0.0099851,              0.0099851,              0.0099851
                      5,                 1.5013,                  1.004,                 1.1676,                0.76093,                0.78205,                 0.7614,                0.39632,                  1.535,                 1.3055,                 1.2515,              0.0099851,              0.0099851,              0.0099851
                      6,                 1.4795,                0.93602,                 1.1592,                0.87687,                0.82168,                0.88457,                 0.5121,                 1.4199,                 0.9745,                 1.1686,              0.0099802,              0.0099802,              0.0099802
                      7,                 1.4837,                0.87335,                 1.1467,                0.72987,                0.72711,                0.73651,                 0.3732,                 1.6252,                 1.3834,                 1.3495,              0.0099753,              0.0099753,              0.0099753
                      8,                  1.436,                0.86895,                 1.1586,                0.89566,                0.84066,                 0.9034,                0.51982,                  1.297,                  0.854,                  1.135,              0.0099703,              0.0099703,              0.0099703
                      9,                 1.4291,                0.83077,                 1.1302,                0.82959,                0.85593,                0.90294,                0.49278,                 1.4577,                 0.9189,                 1.2075,              0.0099654,              0.0099654,              0.0099654
                     10,                 1.4195,                0.83715,                 1.1438,                0.88101,                0.84076,                0.90893,                 0.5314,                 1.3373,                0.84902,                 1.1628,              0.0099604,              0.0099604,              0.0099604
                     11,                 1.3916,                0.79983,                 1.1314,                0.88878,                0.80586,                0.89907,                0.53941,                 1.3092,                0.86521,                 1.1348,              0.0099555,              0.0099555,              0.0099555
                     12,                  1.355,                0.81014,                 1.1218,                 0.9194,                0.87729,                0.94369,                0.57388,                 1.2799,                 0.7227,                 1.1398,              0.0099505,              0.0099505,              0.0099505
                     13,                 1.3105,                0.76234,                 1.1122,                0.87743,                0.85897,                0.91651,                0.53008,                 1.3758,                0.83232,                 1.1682,              0.0099456,              0.0099456,              0.0099456
                     14,                 1.3291,                0.77401,                 1.1014,                0.89209,                0.84799,                0.92673,                0.54118,                 1.3562,                0.73455,                 1.1473,              0.0099406,              0.0099406,              0.0099406
                     15,                 1.2922,                0.75794,                 1.1151,                0.87658,                0.85854,                0.91424,                0.56681,                 1.3003,                0.76888,                 1.1462,              0.0099357,              0.0099357,              0.0099357
                     16,                 1.2954,                0.73852,                 1.1184,                0.92472,                 0.8956,                0.95336,                0.60345,                 1.2453,                 0.6892,                 1.1064,              0.0099307,              0.0099307,              0.0099307
                     17,                 1.3184,                0.75191,                 1.1147,                0.91679,                0.88791,                0.93982,                0.57731,                 1.2455,                0.69779,                 1.1161,              0.0099258,              0.0099258,              0.0099258
                     18,                 1.2597,                0.69635,                 1.0872,                0.86167,                0.85567,                0.90962,                0.49172,                  1.472,                0.79902,                 1.1964,              0.0099208,              0.0099208,              0.0099208
                     19,                 1.2696,                0.70987,                 1.0893,                0.90771,                0.84066,                0.91419,                0.55105,                 1.2681,                0.71567,                  1.112,              0.0099159,              0.0099159,              0.0099159
                     20,                 1.2672,                 0.6989,                 1.0783,                0.92422,                0.88828,                0.95064,                0.60515,                 1.2102,                0.65774,                 1.0965,              0.0099109,              0.0099109,              0.0099109
                     21,                 1.2843,                0.71668,                 1.1054,                0.93144,                 0.8958,                0.96073,                0.62527,                  1.178,                0.63637,                 1.0749,               0.009906,               0.009906,               0.009906
                     22,                 1.2294,                0.68765,                 1.0888,                0.94169,                0.90659,                 0.9583,                0.61967,                 1.1855,                0.64656,                 1.0903,               0.009901,               0.009901,               0.009901
                     23,                 1.2509,                0.70469,                 1.0853,                0.94112,                0.87817,                0.95114,                 0.6171,                 1.1534,                0.64271,                 1.0731,              0.0098961,              0.0098961,              0.0098961
                     24,                 1.2025,                0.67394,                 1.0572,                 0.9228,                0.87576,                 0.9427,                0.61155,                 1.1683,                0.64998,                 1.0778,              0.0098911,              0.0098911,              0.0098911
                     25,                 1.2093,                0.67302,                 1.0723,                0.90787,                0.88462,                0.93591,                0.57714,                 1.2403,                0.73235,                   1.12,              0.0098861,              0.0098861,              0.0098861
                     26,                 1.2049,                0.66887,                 1.0607,                 0.8706,                0.88723,                0.93246,                0.58185,                 1.2701,                0.68175,                 1.1092,              0.0098812,              0.0098812,              0.0098812
                     27,                 1.2107,                0.67688,                 1.0757,                0.92171,                0.89377,                  0.947,                0.58252,                 1.2732,                0.67472,                 1.1304,              0.0098763,              0.0098763,              0.0098763
                     28,                 1.1877,                 0.6675,                 1.0549,                0.90963,                0.90476,                0.94865,                0.59745,                 1.2332,                0.66363,                 1.0982,              0.0098713,              0.0098713,              0.0098713
                     29,                 1.1833,                0.67091,                 1.0653,                0.91579,                0.90293,                0.95834,                0.63125,                 1.1413,                0.60049,                 1.0633,              0.0098664,              0.0098664,              0.0098664
